stream,discipline,course_name
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,CONTROL SYSTEMS
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,ANALOG ELECTRONIC CIRCUIT
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,DIGITAL ELECTRONIC CIRCUITS
Engineering & Technology,BASIC SCIENCE,DIFFERENTIAL CALCULUS IN SEVERAL VARIABLES
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,DESIGN AND ANALYSIS OF ALGORITHMS
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,DATABASE MANAGEMENT SYSTEM
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,PROGRAMMING IN C++
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,SIGNALS AND SYSTEMS
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,COMPILER DESIGN
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,COMPUTER NETWORKS AND INTERNET PROTOCOL
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,AN INTRODUCTION TO ARTIFICIAL INTELLIGENCE
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,CRYPTOGRAPHY AND NETWORK SECURITY
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,INTRODUCTION TO DATA ANALYTICS
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,"MACHINE LEARNING, ML"
Engineering & Technology,BASIC SCIENCE,DISCRETE MATHEMATICS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,DIGITAL SYSTEMS DESIGN
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,DIGITAL SIGNAL PROCESSING
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,CIRCUIT THEORY
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,ANALOG CIRCUITS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,FOUNDATIONS OF WAVELETS AND MULTIRATE DIGITAL SIGNAL PROCESSING
Engineering & Technology,BASIC SCIENCE,ENGINEERING MECHANICS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,MICROWAVE THEORY AND TECHNIQUES
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,INFORMATION THEORY AND CODING
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,DIGITAL SPEECH PROCESSING
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,ANTENNAS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,BIOMEDICAL SIGNAL PROCESSING
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,WIRELESS COMMUNICATION
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,WIRELESS ADHOC AND SENSOR NETWORKS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,CMOS DIGITAL VLSI DESIGN
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,EMBEDDED SYSTEMS DESIGN
Engineering & Technology,MEATLLURGICAL ENGINEERING AND MATERIAL SCIENCE,AN INTRODUCTION TO MATERIALS: NATURE AND PROPERTIES (PART 1: STRUCTURE OF MATERIALS)
Engineering & Technology,MEATLLURGICAL ENGINEERING AND MATERIAL SCIENCE,PLASTIC WORKING OF METALLIC MATERIALS
Engineering & Technology,MEATLLURGICAL ENGINEERING AND MATERIAL SCIENCE,FUNDAMENTALS OF MATERIAL PROCESSING - I
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,Fundamentals of electronic materials and devices
Engineering & Technology,MECHANICAL ENGINEERING,HEAT TRANSFER
Engineering & Technology,CHEMICAL ENGINEERING,MASS TRANSFER OPERATIONS I
Engineering & Technology,ELECTRICAL ENGINEERING,ELECTRICAL MACHINES-I
Engineering & Technology,ELECTRICAL ENGINEERING,ELECTROMAGNETIC FIELDS
Engineering & Technology,ELECTRICAL ENGINEERING,DIGITAL CIRCUITS AND SYSTEM
Engineering & Technology,ELECTRICAL ENGINEERING,ELECTRICAL MACHINES II
Engineering & Technology,CIVIL ENGINEERING,MECHANICS OF MATERIALS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,MICROPROCESSORS AND MICROCONTROLLERS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,POWER ELECTRONICS
Engineering & Technology,ELECTRICAL ENGINEERING,NON CONVENTIONAL ENERGY RESOURCES
Engineering & Technology,ELECTRICAL ENGINEERING,POWER SYSTEM ANALYSIS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,PRINCIPLES OF SIGNALS AND SYSTEMS
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,TRANSMISSION LINES AND ELECTROMAGNETIC WAVES
Engineering & Technology,MECHANICAL ENGINEERING,ENGINEERING THERMODYNAMICS
Engineering & Technology,MECHANICAL ENGINEERING,APPLIED THERMODYNAMICS FOR ENGINEERS
Engineering & Technology,MECHANICAL ENGINEERING,FLUID DYNAMICS AND TURBOMACHINES
Engineering & Technology,HUMANITIES,ORGANIZATIONAL BEHAVIOUR
Engineering & Technology,MECHANICAL ENGINEERING,FUNDAMENTALS OF MANUFACTURING PROCESSES
Engineering & Technology,MECHANICAL ENGINEERING,KINEMATICS OF MECHANISMS AND MACHINES
Engineering & Technology,MECHANICAL ENGINEERING,REFRIGERATION AND AIR-CONDITIONING
Engineering & Technology,MECHANICAL ENGINEERING,BASICS OF FINITE ELEMENT ANALYSIS-I
Engineering & Technology,MECHANICAL ENGINEERING,PROBABILITY AND STATISTICS
Engineering & Technology,MECHANICAL ENGINEERING,STRENGTH OF MATERIALS
Self Paced,Multidisciplinary,Cancer Fundamentals
Self Paced,Multidisciplinary,Critical Thinking
Self Paced,Multidisciplinary,Cultural Studies
Self Paced,Multidisciplinary,Designing Digital Solution
Self Paced,Multidisciplinary,Development of Assistive technology for persons with Disabilities
Self Paced,Multidisciplinary,Environment Natural resources and Sustainable Development
Self Paced,Multidisciplinary,Innovation by Design
Self Paced,Multidisciplinary,Mind Education
Self Paced,Multidisciplinary,Understanding Design
Engineering & Technology,BIOTECHNOLOGY,GENETICS AND GENOMICS
